comment.data.file.	comment.technical.replicate.	factor.value.condition.	factor.value.subset.
QX21595GM	BIO40	A	y
QX21643GM	BIO49	A	y
QX21469GM	BIO50	A	y
QX21484GM	BIO51	A	y
QX21487GM	BIO52	A	y
QX21514GM	BIO53	A	y
QX21559GM	BIO54	A	y
QX21562GM	BIO55	A	x
QX21571GM	BIO56	A	x
QX21586GM	BIO58	A	y
QX21684GM	BIO41	A	y
QX21711GM	BIO59	A	y
QX21460GM	BIO60	A	x
QX21466GM	BIO61	A	y
QX21502GM	BIO62	A	x
QX21565GM	BIO64	A	y
QX21568GM	BIO65	A	y
QX21577GM	BIO66	A	x
QX21583GM	BIO67	A	y
QX21589GM	BIO68	A	y
QX21592GM	BIO42	A	y
QX21601GM	BIO70	A	y
QX21607GM	BIO71	A	y
QX21610GM	BIO72	A	x
QX21613GM	BIO73	A	y
QX21616GM	BIO75	A	y
QX21619GM	BIO76	A	y
QX21625GM	BIO77	A	y
QX21634GM	BIO78	A	y
QX21637GM	BIO43	A	x
QX21640GM	BIO79	A	y
QX21649GM	BIO80	A	x
QX21678GM	BIO81	A	y
QX21687GM	BIO83	A	y
QX21690GM	BIO85	A	y
QX21714GM	BIO86	A	x
QX21720GM	BIO87	A	y
QX21723GM	BIO88	A	x
QX21746GM	BIO44	A	y
QX21758GM	BIO89	A	x
QX21764GM	BIO90	A	y
QX21767GM	BIO91	A	y
QX21770GM	BIO93	A	y
QX21788GM	BIO94	A	y
QX21791GM	BIO45	A	x
QX21797GM	BIO46	A	x
QX21818GM	BIO48	A	y
QX21824GM	BIO97	B	y
QX21830GM	BIO102	B	x
QX21833GM	BIO106	B	y
QX21845GM	BIO96	B	y
QX21851GM	BIO107	B	x
QX21472GM	BIO100	B	y
QX21490GM	BIO98	B	y
QX21526GM	BIO99	B	x
QX21556GM	BIO108	B	x
QX21580GM	BIO95	B	y
QX21631GM	BIO105	B	y
QX21675GM	BIO101	B	y
QX21717GM	BIO103	B	y
QX21839GM	BIO1	B	y
QX21604GM	BIO10	B	y
QX21628GM	BIO27	B	y
QX21652GM	BIO12	B	x
QX21655GM	BIO13	B	y
QX21672GM	BIO14	B	x
QX21699GM	BIO17	B	y
QX21508GM	BIO19	B	x
QX21511GM	BIO2	B	x
QX21517GM	BIO20	B	y
QX21520GM	BIO22	B	x
QX21523GM	BIO23	B	y
QX21693GM	BIO24	B	y
QX21696GM	BIO26	B	x
QX21708GM	BIO35	B	x
QX21740GM	BIO28	B	y
QX21749GM	BIO29	B	x
QX21752GM	BIO3	B	x
QX21755GM	BIO30	B	y
QX21773GM	BIO31	B	y
QX21776GM	BIO33	B	x
QX21782GM	BIO47	B	y
QX21794GM	BIO36	B	y
QX21800GM	BIO37	B	y
QX21803GM	BIO38	B	y
QX21806GM	BIO39	B	y
QX21812GM	BIO5	B	y
QX21842GM	BIO7	B	x
QX21493GM	BIO8	B	x
QX21743GM	BIO18	B	x
