File;Experiment;Condition;Subset
QX21619GM.raw;BIO40;A;y
QX21842GM.raw;BIO49;A;y
QX21652GM.raw;BIO50;A;y
QX21616GM.raw;BIO51;A;y
QX21711GM.raw;BIO52;A;y
QX21764GM.raw;BIO53;A;y
QX21794GM.raw;BIO54;A;y
QX21708GM.raw;BIO55;A;x
QX21586GM.raw;BIO56;A;x
QX21720GM.raw;BIO58;A;y
QX21502GM.raw;BIO41;A;y
QX21607GM.raw;BIO59;A;y
QX21493GM.raw;BIO60;A;x
QX21523GM.raw;BIO61;A;y
QX21749GM.raw;BIO62;A;x
QX21812GM.raw;BIO64;A;y
QX21743GM.raw;BIO65;A;y
QX21520GM.raw;BIO66;A;x
QX21773GM.raw;BIO67;A;y
QX21640GM.raw;BIO68;A;y
QX21839GM.raw;BIO42;A;y
QX21806GM.raw;BIO70;A;y
QX21687GM.raw;BIO71;A;y
QX21487GM.raw;BIO72;A;x
QX21782GM.raw;BIO73;A;y
QX21824GM.raw;BIO75;A;y
QX21684GM.raw;BIO76;A;y
QX21592GM.raw;BIO77;A;y
QX21791GM.raw;BIO78;A;y
QX21583GM.raw;BIO43;A;x
QX21637GM.raw;BIO79;A;y
QX21508GM.raw;BIO80;A;x
QX21851GM.raw;BIO81;A;y
QX21568GM.raw;BIO83;A;y
QX21526GM.raw;BIO85;A;y
QX21562GM.raw;BIO86;A;x
QX21595GM.raw;BIO87;A;y
QX21678GM.raw;BIO88;A;x
QX21643GM.raw;BIO44;A;y
QX21610GM.raw;BIO89;A;x
QX21758GM.raw;BIO90;A;y
QX21514GM.raw;BIO91;A;y
QX21655GM.raw;BIO93;A;y
QX21696GM.raw;BIO94;A;y
QX21800GM.raw;BIO45;A;x
QX21571GM.raw;BIO46;A;x
QX21517GM.raw;BIO48;A;y
QX21767GM.raw;BIO97;B;y
QX21770GM.raw;BIO102;B;x
QX21803GM.raw;BIO106;B;y
QX21723GM.raw;BIO96;B;y
QX21830GM.raw;BIO107;B;x
QX21818GM.raw;BIO100;B;y
QX21699GM.raw;BIO98;B;y
QX21675GM.raw;BIO99;B;x
QX21797GM.raw;BIO108;B;x
QX21690GM.raw;BIO95;B;y
QX21746GM.raw;BIO105;B;y
QX21788GM.raw;BIO101;B;y
QX21833GM.raw;BIO103;B;y
QX21740GM.raw;BIO1;B;y
QX21714GM.raw;BIO10;B;y
QX21472GM.raw;BIO27;B;y
QX21484GM.raw;BIO12;B;x
QX21693GM.raw;BIO13;B;y
QX21511GM.raw;BIO14;B;x
QX21565GM.raw;BIO17;B;y
QX21604GM.raw;BIO19;B;x
QX21559GM.raw;BIO2;B;x
QX21672GM.raw;BIO20;B;y
QX21717GM.raw;BIO22;B;x
QX21490GM.raw;BIO23;B;y
QX21628GM.raw;BIO24;B;y
QX21601GM.raw;BIO26;B;x
QX21469GM.raw;BIO35;B;x
QX21613GM.raw;BIO28;B;y
QX21776GM.raw;BIO29;B;x
QX21634GM.raw;BIO3;B;x
QX21589GM.raw;BIO30;B;y
QX21580GM.raw;BIO31;B;y
QX21649GM.raw;BIO33;B;x
QX21466GM.raw;BIO47;B;y
QX21577GM.raw;BIO36;B;y
QX21755GM.raw;BIO37;B;y
QX21556GM.raw;BIO38;B;y
QX21752GM.raw;BIO39;B;y
QX21845GM.raw;BIO5;B;y
QX21631GM.raw;BIO7;B;x
QX21625GM.raw;BIO8;B;x
QX21460GM.raw;BIO18;B;x
